pag_pk,pag_fecha_planificada,pag_importe_planificado,pag_fecha_real,pag_importe_real,pag_confirmar,mon_pk,mon_nombre
5176,"2017-06-30 00:00:00",27827,"2017-06-30 00:00:00",28294,1,1,Pesos
5177,"2017-09-29 00:00:00",27827,"2017-09-29 00:00:00",34734,1,1,Pesos
5178,"2017-12-29 00:00:00",27827,"2017-12-20 00:00:00",34734,1,1,Pesos
5180,"2017-05-11 00:00:00",9894,"2017-05-11 00:00:00",9894,1,1,Pesos
5183,"2015-12-31 00:00:00",13532,"2015-12-31 00:00:00",13532,1,1,Pesos
5184,"2016-12-30 00:00:00",21532,"2016-12-30 00:00:00",21532,1,1,Pesos
5191,"2017-09-29 00:00:00",45081,"2017-06-30 00:00:00",0,1,1,Pesos
6261,"2017-03-09 00:00:00",260801,"2017-03-09 00:00:00",394369,1,1,Pesos
6418,"2017-11-30 00:00:00",-269,"2017-11-28 00:00:00",7219,1,1,Pesos
7037,"2017-04-06 00:00:00",20407,"2017-04-06 00:00:00",20407,1,1,Pesos
7038,"2017-04-03 00:00:00",8256,"2017-04-03 00:00:00",8256,1,1,Pesos
7040,"2017-05-11 00:00:00",11007,"2017-05-11 00:00:00",11007,1,1,Pesos
5192,"2015-12-31 00:00:00",212788,"2015-12-31 00:00:00",212788,1,1,Pesos
5193,"2016-12-30 00:00:00",1276725,"2016-12-30 00:00:00",1276725,1,1,Pesos
5194,"2017-03-31 00:00:00",319181,"2017-03-31 00:00:00",319181,1,1,Pesos
5195,"2017-06-30 00:00:00",319181,"2017-06-30 00:00:00",319181,1,1,Pesos
5196,"2017-09-29 00:00:00",319181,"2017-09-29 00:00:00",319181,1,1,Pesos
5197,"2017-12-29 00:00:00",319181,"2017-12-20 00:00:00",319181,1,1,Pesos
6748,"2018-03-31 00:00:00",319181,"2018-03-23 00:00:00",319181,1,1,Pesos
6749,"2018-06-30 00:00:00",319181,"2018-07-05 00:00:00",319181,1,1,Pesos
6750,"2018-09-29 00:00:00",319181,"2018-09-28 00:00:00",319181,1,1,Pesos
6751,"2018-10-31 00:00:00",106409,"2018-10-29 00:00:00",106394,1,1,Pesos
5198,"2016-12-30 00:00:00",395751,"2016-12-30 00:00:00",395751,1,1,Pesos
